"Property","PascalCase","MatchCount","Status"
"note-collision","NoteCollision","46","Used"
"note-collision-threshold","NoteCollisionThreshold","0","Absent"
"note-columns","NoteColumns","0","Absent"
"note-dots-direction","NoteDotsDirection","0","Absent"
"note-flag-style","NoteFlagStyle","0","Absent"
"note-head","NoteHead","18","Used"
"note-head-style","NoteHeadStyle","0","Absent"
"note-heads","NoteHeads","0","Absent"
"note-names","NoteNames","0","Absent"
"note-staff-position","NoteStaffPosition","0","Absent"
"number-range-separator","NumberRangeSeparator","0","Absent"
"number-type","NumberType","0","Absent"
"numbering-assertion-function","NumberingAssertionFunction","0","Absent"
"oriscus","Oriscus","0","Absent"
"output-attributes","OutputAttributes","0","Absent"
"outside-staff-horizontal-padding","OutsideStaffHorizontalPadding","0","Absent"
"outside-staff-padding","OutsideStaffPadding","6","Used"
"outside-staff-placement-directive","OutsideStaffPlacementDirective","0","Absent"
"outside-staff-priority","OutsideStaffPriority","37","Used"
"packed-spacing","PackedSpacing","2","Mention"
"padding","Padding","234","Used"
"padding-pairs","PaddingPairs","0","Absent"
"page-break-penalty","PageBreakPenalty","0","Absent"
"page-break-permission","PageBreakPermission","0","Absent"
"page-number","PageNumber","0","Absent"
"page-turn-penalty","PageTurnPenalty","0","Absent"
"page-turn-permission","PageTurnPermission","0","Absent"
"parent-alignment-X","ParentAlignmentX","0","Absent"
"parent-alignment-Y","ParentAlignmentY","0","Absent"
"parenthesis-friends","ParenthesisFriends","0","Absent"
"parenthesis-id","ParenthesisId","0","Absent"
"parenthesized","Parenthesized","3","Used"
"passage-direction","PassageDirection","0","Absent"
"pedal-text","PedalText","0","Absent"
"pes-or-flexa","PesOrFlexa","0","Absent"
"positioning-done","PositioningDone","0","Absent"
"positions","Positions","225","Used"
"potential-beam","PotentialBeam","0","Absent"
"prefer-dotted-right","PreferDottedRight","3","Used"
"prefix-set","PrefixSet","0","Absent"
"primitive","Primitive","0","Absent"
"protrusion","Protrusion","2","Mention"
"pure-relevant-grobs","PureRelevantGrobs","0","Absent"
"pure-relevant-items","PureRelevantItems","0","Absent"
"pure-relevant-spanners","PureRelevantSpanners","0","Absent"
"pure-Y-common","PureYCommon","0","Absent"
"pure-Y-extent","PureYExtent","0","Absent"
"pure-Y-offset-in-progress","PureYOffsetInProgress","0","Absent"
"quantize-position","QuantizePosition","10","Used"
"quantized-positions","QuantizedPositions","0","Absent"
"quilisma","Quilisma","0","Absent"
"range-collapse-threshold","RangeCollapseThreshold","0","Absent"
"rank-on-page","RankOnPage","0","Absent"
"ratio","Ratio","74","Used"
"remove-empty","RemoveEmpty","7","Used"
"remove-first","RemoveFirst","5","Used"
"remove-layer","RemoveLayer","0","Absent"
"remove-short-autoextender","RemoveShortAutoextender","0","Absent"
"replacement-alist","ReplacementAlist","0","Absent"
"rest","Rest","102","Used"
"rest-collision","RestCollision","0","Absent"
"restore-first","RestoreFirst","0","Absent"
"rests","Rests","22","Used"
"rhythmic-location","RhythmicLocation","0","Absent"
"right-bound-info","RightBoundInfo","0","Absent"
"right-down-stem","RightDownStem","0","Absent"
"right-items","RightItems","0","Absent"
"right-justified","RightJustified","0","Absent"
"right-neighbor","RightNeighbor","0","Absent"
"right-number-text","RightNumberText","0","Absent"
"right-padding","RightPadding","6","Used"
"right-up-stem","RightUpStem","0","Absent"
"rotation","Rotation","0","Absent"
"round-up-exceptions","RoundUpExceptions","0","Absent"
"round-up-to-longer-rest","RoundUpToLongerRest","0","Absent"
"rounded","Rounded","8","Used"
"same-direction-correction","SameDirectionCorrection","3","Used"
"script-column","ScriptColumn","0","Absent"
"script-priority","ScriptPriority","0","Absent"
"script-stencil","ScriptStencil","0","Absent"
"scripts","Scripts","31","Used"
"segno-kern","SegnoKern","0","Absent"
"self-alignment-X","SelfAlignmentX","7","Used"
"self-alignment-Y","SelfAlignmentY","1","Mention"
"senza-misura-stencil","SenzaMisuraStencil","0","Absent"
"shape","Shape","20","Used"
"sharp-positions","SharpPositions","4","Used"
"short-bar-extent","ShortBarExtent","0","Absent"
